rate,analysis,metric,metric_type,baseline_mean,mean,std,ci_lower,ci_upper,preservation_pct,change_pct
0.25,basic_structure,node_count,preservation,158262.0,158262.0,0.0,158262.0,158262.0,100.0,+0.0000%
0.25,basic_structure,edge_count,preservation,3990039.0,4000014.0,0.0,4000014.0,4000014.0,99.7506,+0.2500%
0.25,basic_structure,total_synapses,preservation,23556214.0,23585825.6,54.907194428417114,23585777.471722078,23585873.728277925,99.8745,+0.1257%
0.25,basic_structure,weight_mean,similarity,5.903755326702321,5.896435762474831,1.372675056333299e-05,5.896423730447462,5.8964477945022,,-0.1240%
0.25,basic_structure,weight_median,similarity,4.0,4.0,0.0,4.0,4.0,,+0.0000%
0.25,basic_structure,weight_variance,similarity,89.45748753848277,89.25968180212934,7.53689814849973e-05,89.25961573830426,89.25974786595441,,-0.2211%
0.25,basic_structure,weight_std,similarity,9.45819684392764,9.44773421525588,3.988733327249811e-06,9.447730718976965,9.447737711534794,,-0.1106%
0.25,basic_structure,weight_max,similarity,913.0,913.0,0.0,913.0,913.0,,+0.0000%
0.25,basic_structure,weight_min,similarity,1.0,1.0,0.0,1.0,1.0,,+0.0000%
0.25,basic_structure,density,preservation,0.00015930396501487044,0.0001597022210346796,0.0,0.0001597022210346796,0.0001597022210346796,99.7506,+0.2500%
0.25,degree_distribution,in_degree_mean,similarity,25.21160480721841,25.27463320316943,0.0,25.27463320316943,25.27463320316943,,+0.2500%
0.25,degree_distribution,in_degree_median,similarity,9.0,9.0,0.0,9.0,9.0,,+0.0000%
0.25,degree_distribution,in_degree_variance,similarity,3727.29660036276,3726.8044517474664,0.008456883065550291,3726.797038962625,3726.811864532308,,-0.0132%
0.25,degree_distribution,in_degree_std,similarity,61.05158966286431,61.04755893353664,6.926470951820219e-05,61.047498220341865,61.04761964673142,,-0.0066%
0.25,degree_distribution,in_degree_max,similarity,4707.0,4707.0,0.0,4707.0,4707.0,,+0.0000%
0.25,degree_distribution,in_degree_min,similarity,0.0,0.0,0.0,0.0,0.0,,—
0.25,degree_distribution,out_degree_mean,similarity,25.21160480721841,25.27463320316943,0.0,25.27463320316943,25.27463320316943,,+0.2500%
0.25,degree_distribution,out_degree_median,similarity,11.0,11.0,0.0,11.0,11.0,,+0.0000%
0.25,degree_distribution,out_degree_variance,similarity,3364.863849607683,3369.906636731859,0.027916108806372176,3369.8821671836117,3369.9311062801066,,+0.1499%
0.25,degree_distribution,out_degree_std,similarity,58.007446501356036,58.050896949880176,0.00024044557202941618,58.05068619004375,58.051107709716604,,+0.0749%
0.25,degree_distribution,out_degree_max,similarity,4782.0,4782.0,0.0,4782.0,4782.0,,+0.0000%
0.25,degree_distribution,out_degree_min,similarity,0.0,0.0,0.0,0.0,0.0,,—
0.25,degree_distribution,total_degree_mean,similarity,50.42320961443682,50.54926640633886,0.0,50.54926640633886,50.54926640633886,,+0.2500%
0.25,degree_distribution,total_degree_median,similarity,21.0,21.0,0.0,21.0,21.0,,+0.0000%
0.25,degree_distribution,total_degree_variance,similarity,12481.215315530224,12482.254707825188,0.07630614055051459,12482.187822543978,12482.321593106399,,+0.0083%
0.25,degree_distribution,total_degree_std,similarity,111.71935962728317,111.72401133029503,0.0003414941902572603,111.72371199743948,111.72431066315058,,+0.0042%
0.25,degree_distribution,total_degree_max,similarity,9489.0,9489.0,0.0,9489.0,9489.0,,+0.0000%
0.25,degree_distribution,total_degree_min,similarity,0.0,0.0,0.0,0.0,0.0,,—
0.25,assortativity,degree_assortativity,similarity,-0.046430186922204346,-0.04602127814280117,1.1806273469511139e-06,-0.04602231300829869,-0.046020243277303655,,+0.8807%
0.25,connected_components,wcc_count,change,4306.0,4306.0,0.0,4306.0,4306.0,,+0.0000%
0.25,connected_components,wcc_max_size,preservation,153952.0,153952.0,0.0,153952.0,153952.0,100.0,+0.0000%
0.25,connected_components,scc_count,change,18345.0,18342.6,0.8944271909999159,18341.816,18343.384,,-0.0131%
0.25,connected_components,scc_max_size,preservation,139405.0,139406.4,0.8944271909999159,139405.61599999998,139407.184,99.999,+0.0010%
0.25,reciprocity,reciprocity,preservation,0.12993908079595212,0.12961804633683782,6.123702924006365e-07,0.12961750957061013,0.1296185831030655,99.7529,-0.2471%
