dataset,error_model,rate,analysis,metric,mean,std,n
BANC,false_synapses,0.0,basic_structure,metric_node_count,158262.0,0.0,5
BANC,false_synapses,0.0,basic_structure,metric_edge_count,3990039.0,0.0,5
BANC,false_synapses,0.0,basic_structure,metric_total_synapses,23556214.0,0.0,5
BANC,false_synapses,0.0,basic_structure,metric_weight_mean,5.903755326702321,0.0,5
BANC,false_synapses,0.0,basic_structure,metric_weight_variance,89.45748753848277,0.0,5
BANC,false_synapses,0.0,basic_structure,metric_weight_std,9.45819684392764,0.0,5
BANC,false_synapses,0.0,basic_structure,metric_weight_max,913.0,0.0,5
BANC,false_synapses,0.0,basic_structure,metric_density,0.0001593039650148,0.0,5
BANC,false_synapses,0.0,degree_distribution,metric_total_degree_mean,50.42320961443682,0.0,5
BANC,false_synapses,0.0,degree_distribution,metric_in_degree_mean,25.21160480721841,0.0,5
BANC,false_synapses,0.0,degree_distribution,metric_out_degree_mean,25.21160480721841,0.0,5
BANC,false_synapses,0.0,degree_distribution,metric_total_degree_std,111.71935962728317,1.4210854715202004e-14,5
BANC,false_synapses,0.0,degree_distribution,metric_in_degree_max,4707.0,0.0,5
BANC,false_synapses,0.0,degree_distribution,metric_out_degree_max,4782.0,0.0,5
BANC,false_synapses,0.0,assortativity,metric_degree_assortativity,-0.0464301869222043,0.0,5
BANC,false_synapses,0.0,connected_components,metric_wcc_count,4306.0,0.0,5
BANC,false_synapses,0.0,connected_components,metric_wcc_max_size,153952.0,0.0,5
BANC,false_synapses,0.0,connected_components,metric_scc_count,18345.0,0.0,5
BANC,false_synapses,0.0,connected_components,metric_scc_max_size,139405.0,0.0,5
BANC,false_synapses,0.0,reciprocity,metric_reciprocity,0.1299390807959521,0.0,5
BANC,false_synapses,0.25,basic_structure,metric_node_count,158262.0,0.0,5
BANC,false_synapses,0.25,basic_structure,metric_edge_count,4000014.0,0.0,5
BANC,false_synapses,0.25,basic_structure,metric_total_synapses,23585825.6,49.11048767829535,5
BANC,false_synapses,0.25,basic_structure,metric_weight_mean,5.896435762474832,1.227757894776797e-05,5
BANC,false_synapses,0.25,basic_structure,metric_weight_variance,89.25968180212934,6.741206639815081e-05,5
BANC,false_synapses,0.25,basic_structure,metric_weight_std,9.44773421525588,3.567631546436415e-06,5
BANC,false_synapses,0.25,basic_structure,metric_weight_max,913.0,0.0,5
BANC,false_synapses,0.25,basic_structure,metric_density,0.0001597022210346,0.0,5
BANC,false_synapses,0.25,degree_distribution,metric_total_degree_mean,50.54926640633886,0.0,5
BANC,false_synapses,0.25,degree_distribution,metric_in_degree_mean,25.27463320316943,0.0,5
BANC,false_synapses,0.25,degree_distribution,metric_out_degree_mean,25.27463320316943,0.0,5
BANC,false_synapses,0.25,degree_distribution,metric_total_degree_std,111.72401133029504,0.0003054416893329911,5
BANC,false_synapses,0.25,degree_distribution,metric_in_degree_max,4707.0,0.0,5
BANC,false_synapses,0.25,degree_distribution,metric_out_degree_max,4782.0,0.0,5
BANC,false_synapses,0.25,assortativity,metric_degree_assortativity,-0.046021278142801124,1.0559852015238523e-06,5
BANC,false_synapses,0.25,connected_components,metric_wcc_count,4306.0,0.0,5
BANC,false_synapses,0.25,connected_components,metric_wcc_max_size,153952.0,0.0,5
BANC,false_synapses,0.25,connected_components,metric_scc_count,18342.6,0.7999999999999999,5
BANC,false_synapses,0.25,connected_components,metric_scc_max_size,139406.4,0.8,5
BANC,false_synapses,0.25,reciprocity,metric_reciprocity,0.1296180463368378,5.477206404735635e-07,5
BANC,false_synapses,0.5,basic_structure,metric_node_count,158262.0,0.0,5
BANC,false_synapses,0.5,basic_structure,metric_edge_count,4009989.0,0.0,5
BANC,false_synapses,0.5,basic_structure,metric_total_synapses,23615281.0,146.45272274696705,5
BANC,false_synapses,0.5,basic_structure,metric_weight_mean,5.889113660910292,3.6521976181533555e-05,5
BANC,false_synapses,0.5,basic_structure,metric_weight_variance,89.06294312810233,0.00028215213492792195,5
BANC,false_synapses,0.5,basic_structure,metric_weight_std,9.43731652154779,1.4948744817984142e-05,5
BANC,false_synapses,0.5,basic_structure,metric_weight_max,913.0,0.0,5
BANC,false_synapses,0.5,basic_structure,metric_density,0.0001601004770544,0.0,5
BANC,false_synapses,0.5,degree_distribution,metric_total_degree_mean,50.67532319824089,0.0,5
BANC,false_synapses,0.5,degree_distribution,metric_in_degree_mean,25.337661599120445,0.0,5
BANC,false_synapses,0.5,degree_distribution,metric_out_degree_mean,25.337661599120445,0.0,5
BANC,false_synapses,0.5,degree_distribution,metric_total_degree_std,111.76806832942876,0.00036431301476137025,5
BANC,false_synapses,0.5,degree_distribution,metric_in_degree_max,4707.0,0.0,5
BANC,false_synapses,0.5,degree_distribution,metric_out_degree_max,4782.0,0.0,5
BANC,false_synapses,0.5,assortativity,metric_degree_assortativity,-0.0455991152981172,2.3264884302354725e-06,5
BANC,false_synapses,0.5,connected_components,metric_wcc_count,4306.0,0.0,5
BANC,false_synapses,0.5,connected_components,metric_wcc_max_size,153952.0,0.0,5
BANC,false_synapses,0.5,connected_components,metric_scc_count,18341.0,0.8944271909999159,5
BANC,false_synapses,0.5,connected_components,metric_scc_max_size,139408.0,0.8944271909999159,5
BANC,false_synapses,0.5,reciprocity,metric_reciprocity,0.1292951177671559,4.460995733308798e-07,5
BANC,false_synapses,0.75,basic_structure,metric_node_count,158262.0,0.0,5
BANC,false_synapses,0.75,basic_structure,metric_edge_count,4019964.0,0.0,5
BANC,false_synapses,0.75,basic_structure,metric_total_synapses,23644808.0,120.6764268612557,5
BANC,false_synapses,0.75,basic_structure,metric_weight_mean,5.881845708071017,3.0019280486427567e-05,5
BANC,false_synapses,0.75,basic_structure,metric_weight_variance,88.86705979043946,0.0002289212178121602,5
BANC,false_synapses,0.75,basic_structure,metric_weight_std,9.426932681964585,1.214186115110754e-05,5
BANC,false_synapses,0.75,basic_structure,metric_weight_max,913.0,0.0,5
BANC,false_synapses,0.75,basic_structure,metric_density,0.0001604987330742,0.0,5
BANC,false_synapses,0.75,degree_distribution,metric_total_degree_mean,50.80137999014293,0.0,5
BANC,false_synapses,0.75,degree_distribution,metric_in_degree_mean,25.400689995071463,0.0,5
BANC,false_synapses,0.75,degree_distribution,metric_out_degree_mean,25.400689995071463,0.0,5
BANC,false_synapses,0.75,degree_distribution,metric_total_degree_std,111.82646248264152,0.0006153692126419561,5
BANC,false_synapses,0.75,degree_distribution,metric_in_degree_max,4707.0,0.0,5
BANC,false_synapses,0.75,degree_distribution,metric_out_degree_max,4782.0,0.0,5
BANC,false_synapses,0.75,assortativity,metric_degree_assortativity,-0.04547921284906641,7.948264172872075e-06,5
BANC,false_synapses,0.75,connected_components,metric_wcc_count,4306.0,0.0,5
BANC,false_synapses,0.75,connected_components,metric_wcc_max_size,153952.0,0.0,5
BANC,false_synapses,0.75,connected_components,metric_scc_count,18341.8,1.1661903789690602,5
BANC,false_synapses,0.75,connected_components,metric_scc_max_size,139407.4,0.8,5
