dataset,error_model,rate,pr_pearson,pr_spearman,pr_topk100
BANC,false_synapses,0.25,0.9988860101745429,0.9994083616095513,0.99
BANC,false_synapses,0.5,0.9988440415265512,0.9987438463959195,0.986
BANC,false_synapses,0.75,0.9979767934970323,0.9981707027364533,0.992
BANC,false_synapses,0.0,1.0,0.9999999999998084,1.0
BANC,false_synapses,10.0,0.9888982183960888,0.978454484966235,0.938
BANC,false_synapses,15.0,0.9870066986810538,0.9689591080509894,0.9099999999999999
BANC,false_synapses,1.0,0.9977777920218902,0.9976733526921784,0.99
BANC,false_synapses,20.0,0.9833246112569345,0.9616561338084446,0.892
BANC,false_synapses,2.0,0.9975010190706266,0.9957567105766355,0.982
BANC,false_synapses,5.0,0.9930844590924387,0.9894273000788332,0.958
FAFB,false_synapses,0.25,0.9999954749726415,0.9992512202556858,1.0
FAFB,false_synapses,0.5,0.9999897532526976,0.9984181832163527,1.0
FAFB,false_synapses,0.75,0.9999844839617387,0.9980163081231147,0.9960000000000001
FAFB,false_synapses,0.0,0.9999999999999993,0.9999999999999727,1.0
FAFB,false_synapses,10.0,0.9990673697053485,0.9797832616462452,0.9879999999999999
FAFB,false_synapses,15.0,0.9989081584079862,0.9750188151817971,0.986
FAFB,false_synapses,1.0,0.9999723867107166,0.9974622448951974,0.9960000000000001
FAFB,false_synapses,20.0,0.9987289242538328,0.9704624776188769,0.982
FAFB,false_synapses,2.0,0.9998621711512135,0.991648751582742,0.994
FAFB,false_synapses,5.0,0.9997118960644873,0.9859682317520267,0.994
MCNS,false_synapses,0.25,0.9999975943150929,0.999845194694268,1.0
MCNS,false_synapses,0.5,0.9999887338074303,0.9996731037095465,1.0
MCNS,false_synapses,0.75,0.9999814548244059,0.9994802273468448,1.0
MCNS,false_synapses,0.0,1.0,1.0,1.0
MCNS,false_synapses,10.0,0.9995859671265468,0.9870134901263292,0.99
MCNS,false_synapses,15.0,0.9992957299363354,0.9822801791399677,0.9800000000000001
MCNS,false_synapses,1.0,0.9999768356102052,0.9992478901692881,1.0
MCNS,false_synapses,20.0,0.9991509718132763,0.9800348337244941,0.9800000000000001
MCNS,false_synapses,2.0,0.9999256356785894,0.9982238650883664,0.99
MCNS,false_synapses,5.0,0.9997920034444204,0.9936616425384166,0.99
BANC,merge_errors,0.5,0.9998270341061598,0.999729570051915,0.992
BANC,merge_errors,0.0,1.0,0.999999999999716,1.0
BANC,merge_errors,10.0,0.9853112048947292,0.9932634354375869,0.9279999999999999
BANC,merge_errors,15.0,0.9804756130245765,0.9900331866659261,0.876
BANC,merge_errors,1.0,0.9996026550665474,0.9994178533296705,0.992
BANC,merge_errors,20.0,0.9773403801774474,0.9873851153900247,0.86
BANC,merge_errors,2.0,0.9985843191557551,0.9987285167665121,0.982
BANC,merge_errors,3.0,0.9977725390904126,0.998064788052457,0.9800000000000001
BANC,merge_errors,5.0,0.9960295293640069,0.996683037829792,0.9640000000000001
