dataset,error_model,rate,analysis,metric,baseline,value,rel_change_pct,rel_std_pct,n
BANC,false_synapses,0.25,basic_structure,metric_node_count,158262.0,158262.0,0.0,0.0,5
BANC,false_synapses,0.25,basic_structure,metric_edge_count,3990039.0,4000014.0,0.24999755641486213,0.0,5
BANC,false_synapses,0.25,basic_structure,metric_total_synapses,23556214.0,23585825.6,0.1257061088000028,0.00020848209172448233,5
BANC,false_synapses,0.25,basic_structure,metric_weight_mean,5.903755326702321,5.896435762474832,-0.12398149690219457,0.0002079621913231607,5
BANC,false_synapses,0.25,basic_structure,metric_weight_variance,89.45748753848277,89.25968180212934,-0.22111702641809441,7.535653890251672e-05,5
BANC,false_synapses,0.25,basic_structure,metric_weight_std,9.45819684392764,9.44773421525588,-0.11061969680275395,3.771999679544531e-05,5
BANC,false_synapses,0.25,basic_structure,metric_weight_max,913.0,913.0,0.0,0.0,5
BANC,false_synapses,0.25,basic_structure,metric_density,0.0001593039650148,0.0001597022210346,0.2499975564092275,0.0,5
BANC,false_synapses,0.25,degree_distribution,metric_total_degree_mean,50.42320961443682,50.54926640633886,0.24999755641486524,0.0,5
BANC,false_synapses,0.25,degree_distribution,metric_in_degree_mean,25.21160480721841,25.27463320316943,0.24999755641486524,0.0,5
BANC,false_synapses,0.25,degree_distribution,metric_out_degree_mean,25.21160480721841,25.27463320316943,0.24999755641486524,0.0,5
BANC,false_synapses,0.25,degree_distribution,metric_total_degree_std,111.71935962728317,111.72401133029504,0.004163739415793755,0.00027340085939626057,5
BANC,false_synapses,0.25,degree_distribution,metric_in_degree_max,4707.0,4707.0,0.0,0.0,5
BANC,false_synapses,0.25,degree_distribution,metric_out_degree_max,4782.0,4782.0,0.0,0.0,5
BANC,false_synapses,0.25,assortativity,metric_degree_assortativity,-0.0464301869222043,-0.046021278142801124,0.8806959577576481,0.002274350528231125,5
BANC,false_synapses,0.25,connected_components,metric_wcc_count,4306.0,4306.0,0.0,0.0,5
BANC,false_synapses,0.25,connected_components,metric_wcc_max_size,153952.0,153952.0,0.0,0.0,5
BANC,false_synapses,0.25,connected_components,metric_scc_count,18345.0,18342.6,-0.013082583810310468,0.004360861270100844,5
BANC,false_synapses,0.25,connected_components,metric_scc_max_size,139405.0,139406.4,0.001004268139589096,0.0005738675083390122,5
BANC,false_synapses,0.25,reciprocity,metric_reciprocity,0.1299390807959521,0.1296180463368378,-0.2470653610505616,0.0004215210982857948,5
BANC,false_synapses,0.5,basic_structure,metric_node_count,158262.0,158262.0,0.0,0.0,5
BANC,false_synapses,0.5,basic_structure,metric_edge_count,3990039.0,4009989.0,0.49999511282972425,0.0,5
BANC,false_synapses,0.5,basic_structure,metric_total_synapses,23556214.0,23615281.0,0.25074912292781854,0.0006217158782263018,5
BANC,false_synapses,0.5,basic_structure,metric_weight_mean,5.903755326702321,5.889113660910292,-0.24800597216157308,0.0006186227944838247,5
BANC,false_synapses,0.5,basic_structure,metric_weight_variance,89.45748753848277,89.06294312810233,-0.4410412378401624,0.0003154035986160979,5
BANC,false_synapses,0.5,basic_structure,metric_weight_std,9.45819684392764,9.43731652154779,-0.22076430343331935,0.00015805068412782662,5
BANC,false_synapses,0.5,basic_structure,metric_weight_max,913.0,913.0,0.0,0.0,5
BANC,false_synapses,0.5,basic_structure,metric_density,0.0001593039650148,0.0001601004770544,0.499995112818455,0.0,5
BANC,false_synapses,0.5,degree_distribution,metric_total_degree_mean,50.42320961443682,50.67532319824089,0.49999511282971637,0.0,5
BANC,false_synapses,0.5,degree_distribution,metric_in_degree_mean,25.21160480721841,25.337661599120445,0.49999511282971637,0.0,5
BANC,false_synapses,0.5,degree_distribution,metric_out_degree_mean,25.21160480721841,25.337661599120445,0.49999511282971637,0.0,5
BANC,false_synapses,0.5,degree_distribution,metric_total_degree_std,111.71935962728317,111.76806832942876,0.04359915981266864,0.0003260965834182966,5
BANC,false_synapses,0.5,degree_distribution,metric_in_degree_max,4707.0,4707.0,0.0,0.0,5
BANC,false_synapses,0.5,degree_distribution,metric_out_degree_max,4782.0,4782.0,0.0,0.0,5
BANC,false_synapses,0.5,assortativity,metric_degree_assortativity,-0.0464301869222043,-0.0455991152981172,1.7899381397701288,0.0050107238080553075,5
BANC,false_synapses,0.5,connected_components,metric_wcc_count,4306.0,4306.0,0.0,0.0,5
BANC,false_synapses,0.5,connected_components,metric_wcc_max_size,153952.0,153952.0,0.0,0.0,5
BANC,false_synapses,0.5,connected_components,metric_scc_count,18345.0,18341.0,-0.021804306350504225,0.004875591120195781,5
BANC,false_synapses,0.5,connected_components,metric_scc_max_size,139405.0,139408.0,0.002152003156271296,0.0006416033793622294,5
BANC,false_synapses,0.5,reciprocity,metric_reciprocity,0.1299390807959521,0.1292951177671559,-0.49558841331763986,0.0003433143982535983,5
BANC,false_synapses,0.75,basic_structure,metric_node_count,158262.0,158262.0,0.0,0.0,5
BANC,false_synapses,0.75,basic_structure,metric_edge_count,3990039.0,4019964.0,0.7499926692445863,0.0,5
