Synapse Count,Number of Edges,Percentage
3,965976,31.803134365654923
4,542800,17.870776638009115
5,340852,11.221978553092635
6,231248,7.613451282215054
7,166489,5.481370176281318
8,124261,4.091084332748066
9,96749,3.185298026806824
10,76034,2.503291508648462
11,61274,2.0173433450946394
12,50682,1.6686195681053388
13,41797,1.376095893770941
14,35290,1.161863868009104
15,30383,1.000309149949578
16,26089,0.8589364254035
17,22594,0.7438694313912636
18,19472,0.6410828347371288
19,17081,0.5623631830394872
20,15168,0.4993808770179113
21,13388,0.44077737219908997
22,11962,0.39382872170940497
23,10685,0.35178564549949776
24,9536,0.31395675390577543
25,8644,0.28458915486173686
26,7580,0.24955874523969984
27,6994,0.23026568129372832
28,6528,0.21492341542543014
29,5779,0.1902638507572857
30,5301,0.1745265050812202
31,4835,0.15918423921292202
32,4570,0.1504595601247267
33,4143,0.13640130363167235
34,3780,0.12445013944671049
35,3532,0.11628515675285224
36,3271,0.10769217093391269
37,3131,0.10308290650996045
38,2886,0.09501669376804403
39,2627,0.08648955458373239
40,2423,0.0797731978516877
41,2301,0.07575655313938646
42,2143,0.07055466900378321
43,2026,0.06670264087805171
44,1940,0.06387123558905247
45,1819,0.059887514194065176
46,1769,0.05824134832836795
47,1675,0.05514655650085716
48,1527,0.050273905538393365
49,1548,0.0509652952019862
50,1298,0.042734465873500056
51,1300,0.04280031250812794
52,1224,0.04029814039226816
53,1138,0.03746673510326892
54,1141,0.03756550505521075
55,1058,0.03483286971815335
56,1028,0.03384517019873502
57,986,0.03246239087154935
58,927,0.030519915150026618
59,861,0.028346976207306276
60,823,0.027095890149376384
61,823,0.027095890149376384
62,709,0.0233426319755867
63,734,0.024165714908435318
64,666,0.021926929331087086
65,696,0.022914628850505422
66,625,0.020577073321215358
67,562,0.01850290433043685
68,634,0.020873383177040856
69,543,0.017877361301471904
70,540,0.017778591349530068
71,512,0.01685673846473962
72,510,0.01679089183011173
73,481,0.01583611562800734
74,443,0.014585029570077446
75,429,0.014124103127682221
76,417,0.013729023319914886
77,436,0.014354566348879832
78,416,0.013696100002600941
79,364,0.011984087502275824
80,376,0.01237916731004316
81,339,0.011161004569427209
82,360,0.011852394233020046
83,339,0.011161004569427209
84,329,0.010831771396287763
85,283,0.009317298799846314
86,295,0.00971237860761365
87,258,0.008494215866997699
88,287,0.009448992069102092
89,229,0.007539439664893307
90,256,0.00842836923236981
91,230,0.007572362982207251
92,246,0.008099136059230365
93,236,0.007769902886090919
94,214,0.007045589905184138
95,187,0.006156660337707636
96,203,0.006683433414730749
97,199,0.006551740145474969
98,185,0.006090813703079746
99,199,0.006551740145474969
100,181,0.005959120433823967
101,164,0.005399424039486909
102,160,0.0052677307702311315
103,170,0.005596963943370577
104,148,0.004872650962463797
105,146,0.004806804327835907
106,161,0.005300654087545076
107,133,0.004378801202754628
108,129,0.004247107933498849
109,128,0.004214184616184905
110,127,0.004181261298870961
111,109,0.003588641587219958
112,142,0.0046751110585801295
113,126,0.0041483379815570156
114,115,0.0037861814911036257
115,92,0.0030289451928829005
116,105,0.0034569483179641798
117,99,0.003259408414080513
118,102,0.003358178366022346
119,108,0.0035557182699060136
120,107,0.003522794952592069
121,91,0.002996021875568956
122,81,0.0026667887024295106
123,70,0.00230463221197612
124,86,0.0028314052889992333
125,74,0.0024363254812318986
126,90,0.0029630985582550116
127,70,0.00230463221197612
128,73,0.0024034021639179537
129,65,0.002140015625406397
130,73,0.0024034021639179537
131,82,0.0026997120197434546
132,78,0.002568018750487677
133,63,0.0020741689907785078
134,62,0.0020412456734645633
135,63,0.0020741689907785078
136,61,0.002008322356150619
137,81,0.0026667887024295106
138,65,0.002140015625406397
139,54,0.0017778591349530068
140,65,0.002140015625406397
141,64,0.0021070923080924527
142,61,0.002008322356150619
143,57,0.0018766290868948406
144,51,0.001679089183011173
145,56,0.001843705769580896
146,45,0.0014815492791275058
147,60,0.0019753990388366744
148,43,0.0014157026444996167
149,41,0.0013498560098717273
150,43,0.0014157026444996167
151,43,0.0014157026444996167
152,45,0.0014815492791275058
153,51,0.001679089183011173
154,30,0.0009876995194183372
155,37,0.0012181627406159493
156,39,0.0012840093752438384
157,27,0.0008889295674765034
158,35,0.00115231610598806
159,29,0.0009547762021043926
160,28,0.000921852884790448
161,41,0.0013498560098717273
162,30,0.0009876995194183372
163,39,0.0012840093752438384
164,32,0.0010535461540462263
165,30,0.0009876995194183372
166,37,0.0012181627406159493
167,36,0.0011852394233020046
168,30,0.0009876995194183372
169,31,0.0010206228367322817
170,29,0.0009547762021043926
171,31,0.0010206228367322817
172,30,0.0009876995194183372
173,29,0.0009547762021043926
174,35,0.00115231610598806
175,20,0.0006584663462788914
176,31,0.0010206228367322817
177,20,0.0006584663462788914
178,24,0.0007901596155346698
179,27,0.0008889295674765034
180,24,0.0007901596155346698
181,33,0.0010864694713601708
182,23,0.0007572362982207251
183,26,0.0008560062501625588
184,24,0.0007901596155346698
185,30,0.0009876995194183372
186,24,0.0007901596155346698
187,16,0.0005267730770231132
188,21,0.0006913896635928361
189,16,0.0005267730770231132
190,24,0.0007901596155346698
191,15,0.0004938497597091686
192,25,0.0008230829328486144
193,23,0.0007572362982207251
194,18,0.0005926197116510023
195,17,0.0005596963943370577
196,24,0.0007901596155346698
197,16,0.0005267730770231132
198,24,0.0007901596155346698
199,19,0.0006255430289649469
200,18,0.0005926197116510023
201,19,0.0006255430289649469
202,24,0.0007901596155346698
203,14,0.000460926442395224
204,18,0.0005926197116510023
205,18,0.0005926197116510023
206,16,0.0005267730770231132
207,16,0.0005267730770231132
208,14,0.000460926442395224
209,8,0.0002633865385115566
210,10,0.0003292331731394457
211,13,0.0004280031250812794
212,9,0.00029630985582550115
213,11,0.0003621564904533903
214,15,0.0004938497597091686
215,14,0.000460926442395224
216,9,0.00029630985582550115
217,12,0.0003950798077673349
218,11,0.0003621564904533903
219,16,0.0005267730770231132
220,12,0.0003950798077673349
221,14,0.000460926442395224
222,10,0.0003292331731394457
223,12,0.0003950798077673349
224,14,0.000460926442395224
225,15,0.0004938497597091686
226,10,0.0003292331731394457
227,14,0.000460926442395224
228,6,0.00019753990388366745
229,5,0.00016461658656972286
230,14,0.000460926442395224
231,9,0.00029630985582550115
232,14,0.000460926442395224
233,10,0.0003292331731394457
234,10,0.0003292331731394457
235,12,0.0003950798077673349
236,8,0.0002633865385115566
237,9,0.00029630985582550115
238,7,0.000230463221197612
239,6,0.00019753990388366745
240,10,0.0003292331731394457
241,7,0.000230463221197612
242,11,0.0003621564904533903
243,8,0.0002633865385115566
244,12,0.0003950798077673349
245,6,0.00019753990388366745
246,5,0.00016461658656972286
247,3,9.876995194183373e-05
248,11,0.0003621564904533903
249,6,0.00019753990388366745
250,2,6.584663462788915e-05
251,7,0.000230463221197612
252,6,0.00019753990388366745
253,10,0.0003292331731394457
254,5,0.00016461658656972286
255,4,0.0001316932692557783
256,8,0.0002633865385115566
257,7,0.000230463221197612
258,5,0.00016461658656972286
259,3,9.876995194183373e-05
260,7,0.000230463221197612
261,5,0.00016461658656972286
262,3,9.876995194183373e-05
263,8,0.0002633865385115566
264,4,0.0001316932692557783
265,10,0.0003292331731394457
266,4,0.0001316932692557783
267,7,0.000230463221197612
268,5,0.00016461658656972286
269,5,0.00016461658656972286
270,4,0.0001316932692557783
272,2,6.584663462788915e-05
273,4,0.0001316932692557783
274,5,0.00016461658656972286
275,7,0.000230463221197612
276,3,9.876995194183373e-05
277,2,6.584663462788915e-05
278,8,0.0002633865385115566
279,3,9.876995194183373e-05
280,6,0.00019753990388366745
281,4,0.0001316932692557783
282,4,0.0001316932692557783
283,4,0.0001316932692557783
284,4,0.0001316932692557783
285,1,3.292331731394457e-05
286,3,9.876995194183373e-05
287,7,0.000230463221197612
288,4,0.0001316932692557783
289,4,0.0001316932692557783
290,3,9.876995194183373e-05
291,3,9.876995194183373e-05
292,3,9.876995194183373e-05
293,1,3.292331731394457e-05
294,4,0.0001316932692557783
295,4,0.0001316932692557783
296,2,6.584663462788915e-05
297,4,0.0001316932692557783
298,6,0.00019753990388366745
299,5,0.00016461658656972286
300,5,0.00016461658656972286
301,3,9.876995194183373e-05
302,3,9.876995194183373e-05
303,7,0.000230463221197612
304,2,6.584663462788915e-05
305,4,0.0001316932692557783
306,2,6.584663462788915e-05
307,3,9.876995194183373e-05
308,5,0.00016461658656972286
309,1,3.292331731394457e-05
310,1,3.292331731394457e-05
311,1,3.292331731394457e-05
312,2,6.584663462788915e-05
313,3,9.876995194183373e-05
314,5,0.00016461658656972286
315,1,3.292331731394457e-05
316,2,6.584663462788915e-05
317,4,0.0001316932692557783
318,2,6.584663462788915e-05
319,4,0.0001316932692557783
320,3,9.876995194183373e-05
321,5,0.00016461658656972286
322,2,6.584663462788915e-05
323,5,0.00016461658656972286
324,3,9.876995194183373e-05
326,1,3.292331731394457e-05
327,4,0.0001316932692557783
328,4,0.0001316932692557783
329,2,6.584663462788915e-05
330,1,3.292331731394457e-05
331,1,3.292331731394457e-05
332,3,9.876995194183373e-05
333,4,0.0001316932692557783
334,1,3.292331731394457e-05
335,1,3.292331731394457e-05
336,1,3.292331731394457e-05
337,1,3.292331731394457e-05
340,1,3.292331731394457e-05
342,1,3.292331731394457e-05
343,2,6.584663462788915e-05
345,2,6.584663462788915e-05
346,3,9.876995194183373e-05
347,3,9.876995194183373e-05
348,2,6.584663462788915e-05
349,1,3.292331731394457e-05
351,2,6.584663462788915e-05
352,3,9.876995194183373e-05
354,2,6.584663462788915e-05
355,1,3.292331731394457e-05
356,3,9.876995194183373e-05
357,1,3.292331731394457e-05
358,1,3.292331731394457e-05
359,2,6.584663462788915e-05
360,2,6.584663462788915e-05
362,3,9.876995194183373e-05
363,1,3.292331731394457e-05
364,1,3.292331731394457e-05
365,2,6.584663462788915e-05
366,3,9.876995194183373e-05
368,2,6.584663462788915e-05
369,4,0.0001316932692557783
370,2,6.584663462788915e-05
371,1,3.292331731394457e-05
373,1,3.292331731394457e-05
375,1,3.292331731394457e-05
376,2,6.584663462788915e-05
377,2,6.584663462788915e-05
378,1,3.292331731394457e-05
379,1,3.292331731394457e-05
380,3,9.876995194183373e-05
381,1,3.292331731394457e-05
383,2,6.584663462788915e-05
384,1,3.292331731394457e-05
385,2,6.584663462788915e-05
386,1,3.292331731394457e-05
387,1,3.292331731394457e-05
388,1,3.292331731394457e-05
389,1,3.292331731394457e-05
391,1,3.292331731394457e-05
392,1,3.292331731394457e-05
393,1,3.292331731394457e-05
394,2,6.584663462788915e-05
400,1,3.292331731394457e-05
401,1,3.292331731394457e-05
402,1,3.292331731394457e-05
404,1,3.292331731394457e-05
406,2,6.584663462788915e-05
407,2,6.584663462788915e-05
409,1,3.292331731394457e-05
410,1,3.292331731394457e-05
411,1,3.292331731394457e-05
415,1,3.292331731394457e-05
417,1,3.292331731394457e-05
419,2,6.584663462788915e-05
421,1,3.292331731394457e-05
422,1,3.292331731394457e-05
425,3,9.876995194183373e-05
426,1,3.292331731394457e-05
427,1,3.292331731394457e-05
428,1,3.292331731394457e-05
429,1,3.292331731394457e-05
430,1,3.292331731394457e-05
432,2,6.584663462788915e-05
435,1,3.292331731394457e-05
436,2,6.584663462788915e-05
437,1,3.292331731394457e-05
439,1,3.292331731394457e-05
440,1,3.292331731394457e-05
442,1,3.292331731394457e-05
444,1,3.292331731394457e-05
446,1,3.292331731394457e-05
447,1,3.292331731394457e-05
452,2,6.584663462788915e-05
453,1,3.292331731394457e-05
458,1,3.292331731394457e-05
460,1,3.292331731394457e-05
461,2,6.584663462788915e-05
462,1,3.292331731394457e-05
465,1,3.292331731394457e-05
470,2,6.584663462788915e-05
471,2,6.584663462788915e-05
475,2,6.584663462788915e-05
476,1,3.292331731394457e-05
478,1,3.292331731394457e-05
479,1,3.292331731394457e-05
482,2,6.584663462788915e-05
488,3,9.876995194183373e-05
494,1,3.292331731394457e-05
498,1,3.292331731394457e-05
502,1,3.292331731394457e-05
505,1,3.292331731394457e-05
509,2,6.584663462788915e-05
510,1,3.292331731394457e-05
514,2,6.584663462788915e-05
521,1,3.292331731394457e-05
527,1,3.292331731394457e-05
531,1,3.292331731394457e-05
533,1,3.292331731394457e-05
536,1,3.292331731394457e-05
538,2,6.584663462788915e-05
542,1,3.292331731394457e-05
544,1,3.292331731394457e-05
564,1,3.292331731394457e-05
573,1,3.292331731394457e-05
581,1,3.292331731394457e-05
583,1,3.292331731394457e-05
585,1,3.292331731394457e-05
586,1,3.292331731394457e-05
591,1,3.292331731394457e-05
597,1,3.292331731394457e-05
603,1,3.292331731394457e-05
608,1,3.292331731394457e-05
628,1,3.292331731394457e-05
637,1,3.292331731394457e-05
673,1,3.292331731394457e-05
674,1,3.292331731394457e-05
677,1,3.292331731394457e-05
680,1,3.292331731394457e-05
684,1,3.292331731394457e-05
700,1,3.292331731394457e-05
701,1,3.292331731394457e-05
706,1,3.292331731394457e-05
711,1,3.292331731394457e-05
715,1,3.292331731394457e-05
722,1,3.292331731394457e-05
724,1,3.292331731394457e-05
726,1,3.292331731394457e-05
735,1,3.292331731394457e-05
747,1,3.292331731394457e-05
754,1,3.292331731394457e-05
756,1,3.292331731394457e-05
771,1,3.292331731394457e-05
773,1,3.292331731394457e-05
796,1,3.292331731394457e-05
802,1,3.292331731394457e-05
805,1,3.292331731394457e-05
806,1,3.292331731394457e-05
913,1,3.292331731394457e-05
