dataset,error_model,error_rate,error_rate_percent,analysis_name,metric_name,category,real_n,null_n,real_baseline_mean,null_baseline_mean,real_perturbed_mean,null_perturbed_mean,real_mean_relative_change,real_std_relative_change,null_mean_relative_change,null_std_relative_change,effect_difference,cohens_d,test_name,p_value_raw,p_value_adjusted,is_significant,interpretation
BANC,false_synapses,0.005,0.5%,basic_structure,edge_count,secondary_emergent,5,5,3990039.0,3990039.0,4009989.0,4009989.0,0.0049999511282972425,0.0,0.0049999511282972,0.0,4.2500725161431774e-17,0.0,welch_t_test,0.0,0.0,True,"At 0.5% error rate, the secondary change in edge count was significantly greater in Real (+0.50%) than Null (+0.50%) (difference = +0.00%, d = 0.00, p_adj = 0.0000). Suggests connectome biological organization significantly shapes this secondary effect."
BANC,false_synapses,0.005,0.5%,connected_components,scc_count,secondary_emergent,5,5,18345.0,16976.0,18341.0,16962.8,-0.00021804306350504225,5.451076587626057e-05,-0.00077756833176244,4.9284874324589926e-05,0.0005595252682573977,10.76764764829336,welch_t_test,1.606423440027866e-07,5.777942373003453e-07,True,"At 0.5% error rate, the secondary change in scc count was significantly greater in Real (-0.02%) than Null (-0.08%) (difference = +0.06%, d = 10.77, p_adj = 0.0000). Suggests connectome biological organization significantly shapes this secondary effect."
BANC,false_synapses,0.005,0.5%,connected_components,scc_max_size,secondary_emergent,5,5,139405.0,141287.0,139408.0,141300.2,2.1520031562712958e-05,7.1733438542376525e-06,9.342685455845194e-05,5.921705652565872e-06,-7.190682299573898e-05,-10.932466622733758,welch_t_test,1.8846213412531153e-07,6.670961255546742e-07,True,"At 0.5% error rate, the secondary change in scc max size was significantly less in Real (+0.00%) than Null (+0.01%) (difference = -0.01%, d = -10.93, p_adj = 0.0000). Suggests connectome biological organization significantly shapes this secondary effect."
BANC,false_synapses,0.005,0.5%,degree_distribution,in_degree_mean,secondary_emergent,5,5,25.21160480721841,25.21160480721841,25.337661599120445,25.337661599120445,0.0049999511282971636,0.0,0.0049999511282971,0.0,6.331740687315346e-17,0.0,welch_t_test,0.0,0.0,True,"At 0.5% error rate, the secondary change in in degree mean was significantly greater in Real (+0.50%) than Null (+0.50%) (difference = +0.00%, d = 0.00, p_adj = 0.0000). Suggests connectome biological organization significantly shapes this secondary effect."
BANC,false_synapses,0.005,0.5%,degree_distribution,out_degree_mean,secondary_emergent,5,5,25.21160480721841,25.21160480721841,25.337661599120445,25.337661599120445,0.0049999511282971636,0.0,0.0049999511282971,0.0,6.331740687315346e-17,0.0,welch_t_test,0.0,0.0,True,"At 0.5% error rate, the secondary change in out degree mean was significantly greater in Real (+0.50%) than Null (+0.50%) (difference = +0.00%, d = 0.00, p_adj = 0.0000). Suggests connectome biological organization significantly shapes this secondary effect."
BANC,false_synapses,0.005,0.5%,reciprocity,reciprocity,secondary_emergent,5,5,0.1299390807959521,0.0039814147180015,0.12929511776715594,0.003964100649652599,-0.0049558841331762285,3.838371660747249e-06,-0.00434872264639106,0.00012527066901785004,-0.0006071614867851688,-6.851190512336049,welch_t_test,0.0004079393626673555,0.0008171001006720385,True,"At 0.5% error rate, the secondary change in reciprocity was significantly less in Real (-0.50%) than Null (-0.43%) (difference = -0.06%, d = -6.85, p_adj = 0.0008). Suggests connectome biological organization significantly shapes this secondary effect."
BANC,false_synapses,0.01,1.0%,basic_structure,edge_count,secondary_emergent,5,5,3990039.0,3990039.0,4029939.0,4029939.0,0.009999902256594485,0.0,0.0099999022565944,0.0,8.500145032286355e-17,0.0,welch_t_test,0.0,0.0,True,"At 1.0% error rate, the secondary change in edge count was significantly greater in Real (+1.00%) than Null (+1.00%) (difference = +0.00%, d = 0.00, p_adj = 0.0000). Suggests connectome biological organization significantly shapes this secondary effect."
BANC,false_synapses,0.01,1.0%,connected_components,scc_count,secondary_emergent,5,5,18345.0,16976.0,18341.6,16961.0,-0.0001853366039792859,8.266966959990789e-05,-0.0008836003770028,7.214566867293989e-05,0.0006982637730235141,8.999831933873622,welch_t_test,6.900907582639668e-07,2.198431987040923e-06,True,"At 1.0% error rate, the secondary change in scc count was significantly greater in Real (-0.02%) than Null (-0.09%) (difference = +0.07%, d = 9.00, p_adj = 0.0000). Suggests connectome biological organization significantly shapes this secondary effect."
BANC,false_synapses,0.01,1.0%,connected_components,scc_max_size,secondary_emergent,5,5,139405.0,141287.0,139407.2,141302.0,1.5781356479322837e-05,6.001650059424522e-06,0.00010616688018001022,8.668489467452467e-06,-9.038552370068737e-05,-12.123686518577856,welch_t_test,2.1772585881621618e-07,7.586385393127533e-07,True,"At 1.0% error rate, the secondary change in scc max size was significantly less in Real (+0.00%) than Null (+0.01%) (difference = -0.01%, d = -12.12, p_adj = 0.0000). Suggests connectome biological organization significantly shapes this secondary effect."
BANC,false_synapses,0.01,1.0%,degree_distribution,in_degree_mean,secondary_emergent,5,5,25.21160480721841,25.21160480721841,25.46371839102248,25.46371839102248,0.009999902256594327,0.0,0.0099999022565944,0.0,-7.28583859910259e-17,0.0,welch_t_test,0.0,0.0,True,"At 1.0% error rate, the secondary change in in degree mean was significantly less in Real (+1.00%) than Null (+1.00%) (difference = -0.00%, d = 0.00, p_adj = 0.0000). Suggests connectome biological organization significantly shapes this secondary effect."
BANC,false_synapses,0.01,1.0%,degree_distribution,out_degree_mean,secondary_emergent,5,5,25.21160480721841,25.21160480721841,25.46371839102248,25.46371839102248,0.009999902256594327,0.0,0.0099999022565944,0.0,-7.28583859910259e-17,0.0,welch_t_test,0.0,0.0,True,"At 1.0% error rate, the secondary change in out degree mean was significantly less in Real (+1.00%) than Null (+1.00%) (difference = -0.00%, d = 0.00, p_adj = 0.0000). Suggests connectome biological organization significantly shapes this secondary effect."
BANC,false_synapses,0.01,1.0%,reciprocity,reciprocity,secondary_emergent,5,5,0.1299390807959521,0.0039814147180015,0.12888711218705787,0.0041691946205637005,-0.008095860017250428,4.3092921168826886e-05,0.0471641152360259,0.00133498324383525,-0.055259975253276326,-58.50914119810615,welch_t_test,7.953730232197223e-08,3.058072140999967e-07,True,"At 1.0% error rate, the secondary change in reciprocity was significantly less in Real (-0.81%) than Null (+4.72%) (difference = -5.53%, d = -58.51, p_adj = 0.0000). Suggests connectome biological organization significantly shapes this secondary effect."
BANC,false_synapses,0.02,2.0%,basic_structure,edge_count,secondary_emergent,5,5,3990039.0,3990039.0,4069840.0,4069840.0,0.020000055137305676,0.0,0.0200000551373056,0.0,7.632783294297951e-17,0.0,welch_t_test,0.0,0.0,True,"At 2.0% error rate, the secondary change in edge count was significantly greater in Real (+2.00%) than Null (+2.00%) (difference = +0.00%, d = 0.00, p_adj = 0.0000). Suggests connectome biological organization significantly shapes this secondary effect."
BANC,false_synapses,0.02,2.0%,connected_components,scc_count,secondary_emergent,5,5,18345.0,16976.0,18336.0,16959.8,-0.0004905968928863451,3.854493219877611e-05,-0.00095428840716302,9.679357166089505e-05,0.00046369151427667486,6.294120994049774,welch_t_test,0.00013424491145633995,0.0002915904083256215,True,"At 2.0% error rate, the secondary change in scc count was significantly greater in Real (-0.05%) than Null (-0.10%) (difference = +0.05%, d = 6.29, p_adj = 0.0003). Suggests connectome biological organization significantly shapes this secondary effect."
